0.999507	0.031411
0.995562	0.094108
0.987688	0.156434
0.975917	0.218143
0.960294	0.278991
0.940881	0.338738
0.917755	0.397148
0.891007	0.453990
0.860742	0.509041
0.827081	0.562083
0.790155	0.612907
0.750111	0.661312
0.707107	0.707107
0.661312	0.750111
0.612907	0.790155
0.562083	0.827081
0.509041	0.860742
0.453990	0.891007
0.397148	0.917755
0.338738	0.940881
0.278991	0.960294
0.218143	0.975917
0.156434	0.987688
0.094108	0.995562
0.031411	0.999507
-0.031411	0.999507
-0.094108	0.995562
-0.156434	0.987688
-0.218143	0.975917
-0.278991	0.960294
-0.338738	0.940881
-0.397148	0.917755
-0.453990	0.891007
-0.509041	0.860742
-0.562083	0.827081
-0.612907	0.790155
-0.661312	0.750111
-0.707107	0.707107
-0.750111	0.661312
-0.790155	0.612907
-0.827081	0.562083
-0.860742	0.509041
-0.891007	0.453990
-0.917755	0.397148
-0.940881	0.338738
-0.960294	0.278991
-0.975917	0.218143
-0.987688	0.156434
-0.995562	0.094108
-0.999507	0.031411
-0.999507	-0.031411
-0.995562	-0.094108
-0.987688	-0.156434
-0.975917	-0.218143
-0.960294	-0.278991
-0.940881	-0.338738
-0.917755	-0.397148
-0.891007	-0.453990
-0.860742	-0.509041
-0.827081	-0.562083
-0.790155	-0.612907
-0.750111	-0.661312
-0.707107	-0.707107
-0.661312	-0.750111
-0.612907	-0.790155
-0.562083	-0.827081
-0.509041	-0.860742
-0.453990	-0.891007
-0.397148	-0.917755
-0.338738	-0.940881
-0.278991	-0.960294
-0.218143	-0.975917
-0.156434	-0.987688
-0.094108	-0.995562
-0.031411	-0.999507
0.031411	-0.999507
0.094108	-0.995562
0.156434	-0.987688
0.218143	-0.975917
0.278991	-0.960294
0.338738	-0.940881
0.397148	-0.917755
0.453990	-0.891007
0.509041	-0.860742
0.562083	-0.827081
0.612907	-0.790155
0.661312	-0.750111
0.707107	-0.707107
0.750111	-0.661312
0.790155	-0.612907
0.827081	-0.562083
0.860742	-0.509041
0.891007	-0.453990
0.917755	-0.397148
0.940881	-0.338738
0.960294	-0.278991
0.975917	-0.218143
0.987688	-0.156434
0.995562	-0.094108
0.999507	-0.031411
